Test 1
x, y, z
0.08000183, -0.9424286, -0.05726624
0.06863403, -1.026413, 0.04005432
0.01255798, -0.9995575, 0.006469727
-0.05966187, -0.9739838, -0.07969666
-0.02583313, -1.055893, -0.03759766
-0.03088379, -0.980545, -0.06832886
0.02920532, -0.9982758, -0.00592041
0.01042175, -1.002945, -0.01982117
-0.01271057, -0.9827728, -0.08297729
-0.02796936, -0.9885101, -0.08650208
-0.01809692, -0.9952087, -0.07949829
0.1270752, -0.9753723, -0.03155518
0.128891, -0.9270477, -0.04380798
0.1318512, -0.9029541, -0.03620911
0.1312408, -0.8317719, -0.027771
0.1271515, -0.6952362, -0.01087952
0.1227417, -0.4708252, 0.01182556
0.05911255, -0.2258148, 0.05343628

Test 2
x, y, z
0.1331787, -0.8858337, 0.01420593
0.1301727, -0.8508606, -0.003265381
0.1213531, -0.6185608, 0.006500244
0.1118317, -0.3331451, 0.01722717
-0.6923828, -1.367035, -0.06008911

Test 3
x, y, z
0.03648376, -0.9422302, -0.04162598
0.1422424, -0.959198, 0.01075745
0.1419678, -0.9353638, 0.0100708
0.1368103, -0.8581848, 0.006530762
0.134552, -0.769165, 3.051758E-05
0.1267853, -0.566803, 0.01243591
0.1141357, -0.2519073, 0.01876831
-0.4201202, -0.5042725, -0.06385803

Test 4
x, y, z
0.131424, -0.8582611, 0.005111694
0.1245575, -0.7226715, 0.01535034
0.1161804, -0.5160828, 0.02920532
0.09043884, -0.1564636, 0.05004883
-0.266571, -0.09664917, -0.09336853

Test 5
x, y, z
0.1072845, -0.8717651, -0.02104187
0.1473999, -0.995697, 0.006378174
0.1340027, -0.9134827, -0.01045227
0.1333466, -0.8282166, 0.008575439
0.1307983, -0.7340698, 0.01158142
0.116745, -0.4997559, 0.02609253
0.09004211, -0.1437073, 0.051651

Test 6
x, y, z
0.1310425, -0.8091431, 0.0006408691
0.1249847, -0.7023773, 0.01000977
0.1176605, -0.4537201, 0.0274353
0.0632782, -0.1466675, 0.05953979

Test 7
x, y, z
0.04182434, -0.9476624, -0.1320496
0.03102112, -0.9714966, -0.1303558
0.05340576, -1.00206, -0.1361237
0.03894043, -0.9808197, -0.1938477
0.05584717, -0.9907227, -0.1747589
0.0683136, -0.9858856, -0.1400757
0.04013062, -0.9891663, -0.1690369
0.03117371, -0.9913025, -0.1777344
0.0463562, -0.9926147, -0.16185
0.06149292, -0.9878235, -0.1806183
0.05189514, -0.9987946, -0.1507721
0.08534241, -1.020081, -0.09677124
0.08596802, -0.9377747, -0.1456909
0.1257019, -0.9297638, -0.03218079
0.1442413, -0.9762421, -0.0223999
0.1343536, -0.8643036, -0.001953125
0.1347046, -0.8060455, -0.002075195
0.1262207, -0.6478424, 0.01454163
0.1157532, -0.363266, 0.03518677
-0.2315826, -0.6998444, 0.06718445

Test 8
x, y, z
0.1421661, -0.9369659, -0.03034973
0.141571, -0.9765625, 0.03224182
0.133606, -0.9185333, 0.02636719
0.1315002, -0.8540649, 0.0201416
0.1270447, -0.7437439, -9.155273E-05
0.1212921, -0.549408, 0.01571655
-0.2765045, -0.8722534, 0.02468872
-0.308136, -0.2210693, -0.09767151

Test 9
x, y, z
0.1279449, -0.8677826, 0.009963989
0.1475525, -0.9480896, 0.005584717
0.1338654, -0.8674927, -0.008102417
0.1334991, -0.7414093, 0.01356506
0.1257935, -0.569809, 0.02426147
0.1062012, -0.2364349, 0.0422821
-0.4262543, -0.7937622, -0.05673218

Test 10
x, y, z
0.1403351, -0.9296722, -0.009796143
0.1360626, -0.8618927, -0.001602173
0.1344604, -0.7661743, 0.005523682
0.1252747, -0.5857086, 0.02528381
0.1132813, -0.2734833, 0.04772949
-0.3425598, -0.8034363, 0.0372467

Test 11
x, y, z
0.1384888, -0.9451141, 0.04600525
0.1342621, -0.8962555, 0.03129578
0.1274872, -0.8162231, 0.02758789
0.1215668, -0.6775818, 0.02319336
0.1020813, -0.2451782, 0.03411865
0.02374268, -0.2201691, 0.07060242

Test 12
x, y, z
0.05140686, -0.9438019, -0.05375671
0.05015564, -0.8552246, -0.05267334
0.1044006, -0.7696533, 0.01763916
0.1201782, -0.6311646, 0.06349182
0.1042023, -0.3163757, 0.08836365

Test 13
x, y, z
0.0006866455, -1.016418, -0.08724976
-0.004806519, -0.9898224, -0.1067047
-0.01161194, -0.9927673, -0.09544373
-0.00944519, -0.993103, -0.1279755
-0.01451111, -0.9909515, -0.1385651
-0.002975464, -0.9958954, -0.1084442
-0.001876831, -0.98909, -0.1464539
-0.01893616, -0.9966583, -0.1082916
-0.01022339, -0.9956055, -0.09820557
-0.0176239, -0.9986115, -0.1206818
-0.01358032, -1.003006, -0.09220886
-0.01823425, -0.9959412, -0.1097107
-0.02386475, -0.9880524, -0.06694031
-0.009063721, -0.9904938, -0.09637451
-0.005126953, -0.9911346, -0.06388855
0.01960754, -1.022537, -0.05921936
-0.01531982, -1.000168, -0.009338379
0.02781677, -0.9610443, -0.02941895
0.1370239, -0.9014587, 0.03636169
0.138031, -0.9076843, 0.02993774
0.1259613, -0.7637329, 0.03643799
0.1201172, -0.6099396, 0.03718567
0.0965271, -0.2983551, 0.05062866
-0.4524994, -1.049622, 0.004776001

Test 14
x, y, z
0.03244019, -0.9457092, -0.1020508
0.07159424, -1.013626, -0.2242279
0.06155396, -1.005936, -0.1348877
0.03057861, -0.9731445, -0.1735077
0.04217529, -1.00032, -0.194809
0.05117798, -0.9818726, -0.1396942
0.02272034, -0.9873657, -0.03533936
0.03160095, -0.9891968, -0.1277618
0.0110321, -1.007065, -0.08787537
0.02941895, -0.9917145, -0.135498
0.02304077, -1.00354, -0.1421509
0.03137207, -0.9805756, -0.1386414
0.02468872, -0.9870605, -0.09715271
0.06260681, -1.008499, -0.2033691
0.06903076, -0.9845123, -0.1129303
0.04621887, -1.005676, -0.06489563
0.04353333, -0.9981232, -0.06019592
0.02790833, -0.9977112, -0.02616882
0.03416443, -0.9841003, -0.04837036
0.06903076, -1.00325, -0.07484436
0.06173706, -1.013855, -0.07588196
0.05612183, -0.9812012, -0.1251984
0.0619812, -1.004211, -0.09674072
0.07852173, -1.02002, -0.0002288818
0.1482391, -0.9612732, 0.02110291
0.1371613, -0.9314117, 0.03782654
0.1382751, -0.912262, 0.0149231
0.1366272, -0.8227539, 0.01463318
0.1304169, -0.7001801, 0.0202179
0.122345, -0.4721222, 0.03240967
0.1028748, -0.111084, 0.05181885
-0.1908569, -0.0008544922, -0.08683777

Test 15
x, y, z
0.130722, -0.8621979, 0.0504303
0.1248627, -0.8421783, 0.01838684
0.1294556, -0.7668152, 0.009078979
0.1189575, -0.5204315, 0.0280304
